epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,38258.4,1.24966,0.98296,1.3869,0.91779,0.59391,0.73889,0.50882,1.45309,1.23438,1.50572,0.0005644,0.0005644,0.0005644
90,38499.5,1.22256,0.96615,1.38161,0.89591,0.58704,0.71927,0.49252,1.47528,1.28295,1.5211,0.00055945,0.00055945,0.00055945
91,38752.2,1.21205,0.95142,1.3754,0.91059,0.58777,0.73966,0.51485,1.4436,1.22658,1.49269,0.0005545,0.0005545,0.0005545
92,38970.4,1.22447,0.95933,1.37679,0.89764,0.59286,0.73618,0.50745,1.46773,1.23238,1.5199,0.00054955,0.00054955,0.00054955
93,39196.2,1.25223,0.98195,1.38574,0.91211,0.60546,0.73655,0.50545,1.47201,1.25217,1.50421,0.0005446,0.0005446,0.0005446
94,39425.1,1.20547,0.913,1.34429,0.88387,0.60231,0.73447,0.48956,1.50096,1.2487,1.51413,0.00053965,0.00053965,0.00053965
95,39646.7,1.2139,0.95294,1.35105,0.87868,0.60756,0.73881,0.50513,1.47651,1.22139,1.51648,0.0005347,0.0005347,0.0005347
96,39871.6,1.20633,0.93688,1.34947,0.8962,0.61385,0.73834,0.51183,1.45668,1.23963,1.48542,0.00052975,0.00052975,0.00052975
97,40125.5,1.1988,0.95673,1.35879,0.91476,0.59496,0.74221,0.514,1.46698,1.20566,1.50981,0.0005248,0.0005248,0.0005248
98,40368.6,1.20553,0.94533,1.35615,0.89624,0.59811,0.73909,0.49915,1.48024,1.22987,1.51506,0.00051985,0.00051985,0.00051985
99,40589.4,1.19315,0.93569,1.34811,0.87898,0.6107,0.73997,0.5163,1.46665,1.21567,1.51215,0.0005149,0.0005149,0.0005149
100,40808.7,1.21803,0.9608,1.37999,0.84461,0.62737,0.74288,0.51173,1.4511,1.21759,1.49395,0.00050995,0.00050995,0.00050995
101,41023.8,1.19507,0.93648,1.36042,0.86079,0.62959,0.74411,0.50455,1.45061,1.21863,1.49167,0.000505,0.000505,0.000505
102,41241.2,1.20835,0.92079,1.35584,0.89265,0.61951,0.74873,0.50241,1.47811,1.21431,1.50102,0.00050005,0.00050005,0.00050005
103,41454.2,1.22059,0.95975,1.38678,0.89382,0.61175,0.7465,0.52168,1.41939,1.18551,1.48926,0.0004951,0.0004951,0.0004951
104,41692,1.17358,0.90417,1.34449,0.8907,0.6191,0.74381,0.49972,1.48116,1.21953,1.52302,0.00049015,0.00049015,0.00049015
105,41928.8,1.21507,0.9416,1.37057,0.89961,0.6086,0.73762,0.50242,1.47903,1.23027,1.52637,0.0004852,0.0004852,0.0004852
106,42171.3,1.19695,0.92289,1.3554,0.84388,0.63274,0.74716,0.52772,1.41361,1.19439,1.47641,0.00048025,0.00048025,0.00048025
107,42415.7,1.19332,0.93614,1.36878,0.90704,0.61433,0.73887,0.50976,1.50158,1.22761,1.53524,0.0004753,0.0004753,0.0004753
108,42652.1,1.16163,0.90769,1.33087,0.86371,0.61595,0.74199,0.51353,1.43864,1.19477,1.48445,0.00047035,0.00047035,0.00047035
109,42868.7,1.17262,0.90476,1.34599,0.89468,0.59725,0.73723,0.5155,1.44239,1.2271,1.50947,0.0004654,0.0004654,0.0004654
110,43085.4,1.15058,0.9018,1.32902,0.88542,0.6128,0.74532,0.52018,1.43071,1.21419,1.47856,0.00046045,0.00046045,0.00046045
111,43316.8,1.17597,0.90592,1.33108,0.89944,0.617,0.75064,0.51808,1.42838,1.19352,1.49201,0.0004555,0.0004555,0.0004555
112,43557.3,1.17688,0.90658,1.34433,0.87188,0.62838,0.74964,0.50887,1.48116,1.19311,1.51413,0.00045055,0.00045055,0.00045055
113,43825.5,1.19446,0.91333,1.35708,0.91606,0.63169,0.75912,0.52286,1.44653,1.15524,1.49908,0.0004456,0.0004456,0.0004456
114,44080.7,1.17987,0.90408,1.33816,0.87586,0.62329,0.74946,0.53101,1.3968,1.17584,1.45814,0.00044065,0.00044065,0.00044065
115,44334,1.14947,0.90101,1.32248,0.91625,0.61175,0.74606,0.52457,1.42816,1.19396,1.49675,0.0004357,0.0004357,0.0004357
116,44643.9,1.14087,0.87726,1.31684,0.89299,0.61385,0.75501,0.52251,1.45007,1.18118,1.5115,0.00043075,0.00043075,0.00043075
117,44907.4,1.1524,0.9021,1.3274,0.88773,0.61398,0.75036,0.52872,1.41309,1.1705,1.48055,0.0004258,0.0004258,0.0004258
118,45155.2,1.18241,0.91523,1.35511,0.91266,0.6128,0.75457,0.52838,1.43106,1.15995,1.50801,0.00042085,0.00042085,0.00042085
119,45431.8,1.18218,0.91357,1.33118,0.89637,0.62225,0.75217,0.51417,1.4438,1.16581,1.49886,0.0004159,0.0004159,0.0004159
120,45680.2,1.1639,0.88389,1.32066,0.92646,0.6128,0.75235,0.51921,1.45553,1.18578,1.50228,0.00041095,0.00041095,0.00041095
121,45961.7,1.15055,0.88699,1.32584,0.92766,0.60965,0.7567,0.52325,1.45512,1.17114,1.50992,0.000406,0.000406,0.000406
122,46191.6,1.15069,0.88225,1.32495,0.87221,0.63024,0.75482,0.52515,1.46116,1.17005,1.50302,0.00040105,0.00040105,0.00040105
123,46423.2,1.12718,0.86296,1.30428,0.88096,0.61805,0.75513,0.52521,1.41971,1.15295,1.4794,0.0003961,0.0003961,0.0003961
124,46636.4,1.13454,0.86517,1.31347,0.88766,0.64671,0.76734,0.53072,1.41551,1.13996,1.48775,0.00039115,0.00039115,0.00039115
125,46879.6,1.15961,0.92656,1.33988,0.88036,0.64428,0.76053,0.53732,1.41912,1.15398,1.49477,0.0003862,0.0003862,0.0003862
126,47121,1.12467,0.85929,1.29968,0.88227,0.64848,0.75834,0.52604,1.42771,1.15726,1.47856,0.00038125,0.00038125,0.00038125
127,47360.3,1.12238,0.86088,1.29446,0.88406,0.63903,0.75849,0.53296,1.40221,1.1298,1.46092,0.0003763,0.0003763,0.0003763
