epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1279.82,0.84273,0.53915,0.98079,0.93771,0.84949,0.91978,0.72042,0.84791,0.52062,1.00365,0.000802,0.000802,0.000802
82,1295.73,0.83097,0.52924,0.97509,0.94467,0.84953,0.92231,0.72013,0.84945,0.49977,1.00441,0.000799525,0.000799525,0.000799525
83,1311.5,0.80769,0.51431,0.97126,0.95556,0.84201,0.92026,0.71615,0.86846,0.51105,1.01618,0.00079705,0.00079705,0.00079705
84,1327.05,0.83172,0.53113,0.98415,0.94357,0.84915,0.92332,0.71946,0.85931,0.50839,1.01151,0.000794575,0.000794575,0.000794575
85,1342.65,0.84603,0.57716,0.9983,0.94854,0.86207,0.92257,0.72062,0.84971,0.50809,1.00486,0.0007921,0.0007921,0.0007921
86,1362.42,0.84027,0.53351,0.98184,0.94328,0.84577,0.91845,0.71519,0.86593,0.51241,1.01135,0.000789625,0.000789625,0.000789625
87,1378.02,0.82738,0.53022,0.97813,0.94793,0.84453,0.92193,0.72337,0.84533,0.50492,1.00742,0.00078715,0.00078715,0.00078715
88,1393.94,0.81548,0.52749,0.97529,0.92416,0.8633,0.92397,0.72106,0.84766,0.50625,1.00147,0.000784675,0.000784675,0.000784675
89,1416.07,0.83058,0.52964,0.98501,0.95338,0.8395,0.92257,0.72221,0.84814,0.50679,1.00185,0.0007822,0.0007822,0.0007822
90,1431.9,0.82082,0.52037,0.97612,0.95459,0.84357,0.92107,0.71743,0.85499,0.50249,1.01036,0.000779725,0.000779725,0.000779725
91,1448.01,0.82902,0.52625,0.97996,0.94676,0.84953,0.92148,0.71423,0.8579,0.51094,1.01017,0.00077725,0.00077725,0.00077725
92,1463.96,0.81243,0.51572,0.97681,0.95728,0.84389,0.92374,0.72336,0.85198,0.50731,1.00621,0.000774775,0.000774775,0.000774775
93,1484.13,0.82292,0.52117,0.97432,0.94015,0.84691,0.9234,0.72156,0.84617,0.50167,1.00215,0.0007723,0.0007723,0.0007723
94,1499.97,0.81841,0.52357,0.97465,0.95302,0.85219,0.92317,0.7294,0.83118,0.50197,0.9956,0.000769825,0.000769825,0.000769825
