epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,3771.6,1.29976,0.84304,0.94655,0.75435,0.50664,0.59069,0.3573,1.28088,0.85824,0.94569,0.00066835,0.00066835,0.00066835
69,3827.11,1.30323,0.83855,0.94491,0.76971,0.50216,0.59623,0.36123,1.29881,0.85787,0.94958,0.0006634,0.0006634,0.0006634
70,3882.48,1.28955,0.82887,0.94289,0.75098,0.50987,0.59362,0.36012,1.28375,0.85382,0.94497,0.00065845,0.00065845,0.00065845
71,3937.52,1.28838,0.83659,0.93921,0.75537,0.50985,0.59593,0.36197,1.29676,0.85511,0.95211,0.0006535,0.0006535,0.0006535
72,3993.22,1.27236,0.81766,0.93608,0.77265,0.50961,0.59988,0.36348,1.28962,0.83704,0.94611,0.00064855,0.00064855,0.00064855
73,4048.51,1.2951,0.8434,0.94428,0.7915,0.49868,0.59898,0.36098,1.29281,0.84799,0.94764,0.0006436,0.0006436,0.0006436
74,4104.04,1.28793,0.82801,0.94503,0.76676,0.49832,0.5913,0.35661,1.31315,0.85279,0.95458,0.00063865,0.00063865,0.00063865
75,4160.13,1.28943,0.82395,0.94115,0.764,0.49289,0.58468,0.35612,1.28496,0.85506,0.94612,0.0006337,0.0006337,0.0006337
76,4215.28,1.28712,0.8296,0.9431,0.75401,0.51129,0.59628,0.36529,1.2685,0.83679,0.94611,0.00062875,0.00062875,0.00062875
77,4270.85,1.29106,0.83597,0.94076,0.76798,0.50317,0.59986,0.36459,1.28161,0.84302,0.94667,0.0006238,0.0006238,0.0006238
78,4325.85,1.28804,0.82816,0.94057,0.77314,0.49664,0.59286,0.36203,1.27596,0.84026,0.94585,0.00061885,0.00061885,0.00061885
79,4379.97,1.25948,0.81468,0.93787,0.7528,0.51369,0.59494,0.36142,1.29237,0.85338,0.94943,0.0006139,0.0006139,0.0006139
80,4432.66,1.24819,0.80646,0.93305,0.76514,0.50465,0.59525,0.36288,1.26439,0.84197,0.94153,0.00060895,0.00060895,0.00060895
81,4485.59,1.27662,0.81971,0.94043,0.77684,0.49568,0.59196,0.35863,1.2863,0.84449,0.94502,0.000604,0.000604,0.000604
82,4538.1,1.28119,0.81866,0.93319,0.75155,0.50793,0.59449,0.35918,1.30436,0.85197,0.94792,0.00059905,0.00059905,0.00059905
83,4590.86,1.27859,0.81835,0.9377,0.75532,0.50961,0.59847,0.36471,1.28256,0.84175,0.94924,0.0005941,0.0005941,0.0005941
84,4642.99,1.27655,0.81606,0.9347,0.76572,0.50817,0.60013,0.3656,1.2839,0.83101,0.94526,0.00058915,0.00058915,0.00058915
85,4695.98,1.24997,0.79695,0.93193,0.78218,0.50552,0.60086,0.3664,1.26881,0.83083,0.94258,0.0005842,0.0005842,0.0005842
86,4749.06,1.24743,0.79582,0.92886,0.74774,0.5161,0.60207,0.36782,1.26643,0.82883,0.94351,0.00057925,0.00057925,0.00057925
87,4802.35,1.28059,0.81785,0.93639,0.76702,0.50672,0.60191,0.36775,1.27016,0.82995,0.94397,0.0005743,0.0005743,0.0005743
88,4855.31,1.26088,0.8028,0.93697,0.76329,0.51729,0.60778,0.37022,1.25775,0.81847,0.93922,0.00056935,0.00056935,0.00056935
89,4908.05,1.26899,0.80258,0.93454,0.7595,0.51993,0.60569,0.36991,1.26,0.83343,0.93803,0.0005644,0.0005644,0.0005644
90,4960.71,1.26013,0.80163,0.93148,0.7573,0.51782,0.60377,0.36613,1.27831,0.83914,0.94299,0.00055945,0.00055945,0.00055945
91,5013.34,1.25476,0.80781,0.92853,0.75001,0.51873,0.60463,0.36872,1.26837,0.82698,0.94347,0.0005545,0.0005545,0.0005545
92,5066.57,1.24916,0.80122,0.92853,0.77443,0.51801,0.61124,0.37117,1.26008,0.81949,0.9411,0.00054955,0.00054955,0.00054955
93,5118.83,1.2595,0.80642,0.93131,0.78696,0.51393,0.60792,0.37017,1.27069,0.82157,0.94404,0.0005446,0.0005446,0.0005446
94,5171.29,1.25365,0.79644,0.93099,0.79273,0.50977,0.60617,0.3699,1.26998,0.82538,0.94198,0.00053965,0.00053965,0.00053965
95,5223.77,1.25833,0.80814,0.93317,0.77394,0.51033,0.60346,0.36826,1.25806,0.81984,0.94059,0.0005347,0.0005347,0.0005347
96,5276.72,1.25021,0.80661,0.9297,0.73716,0.52806,0.60509,0.36736,1.2745,0.8287,0.94674,0.00052975,0.00052975,0.00052975
97,5328.82,1.24804,0.79315,0.93099,0.75611,0.51945,0.60399,0.36821,1.27481,0.82668,0.94257,0.0005248,0.0005248,0.0005248
98,5381.82,1.2444,0.79176,0.93055,0.76681,0.51513,0.60569,0.36911,1.26952,0.82207,0.94258,0.00051985,0.00051985,0.00051985
99,5434.26,1.25033,0.80451,0.92706,0.75951,0.52562,0.61106,0.37123,1.27496,0.81692,0.94434,0.0005149,0.0005149,0.0005149
100,5487.1,1.25577,0.79189,0.92824,0.78105,0.51273,0.60739,0.36958,1.26274,0.82122,0.94183,0.00050995,0.00050995,0.00050995
101,5540.13,1.24691,0.79729,0.93074,0.76926,0.51825,0.60764,0.37223,1.25694,0.82241,0.94158,0.000505,0.000505,0.000505
102,5593.29,1.26045,0.8012,0.93078,0.77941,0.51873,0.60891,0.3711,1.2606,0.81223,0.93952,0.00050005,0.00050005,0.00050005
103,5645.35,1.23553,0.78721,0.92413,0.7829,0.51225,0.60879,0.36971,1.26393,0.81021,0.94386,0.0004951,0.0004951,0.0004951
104,5698.74,1.2469,0.79179,0.93065,0.7911,0.50865,0.60574,0.37011,1.26108,0.81495,0.94252,0.00049015,0.00049015,0.00049015
105,5751.74,1.24175,0.78983,0.92332,0.78989,0.51249,0.60755,0.37017,1.26769,0.82016,0.94397,0.0004852,0.0004852,0.0004852
106,5804.7,1.24436,0.78836,0.92473,0.77411,0.51489,0.60726,0.37037,1.27411,0.814,0.94141,0.00048025,0.00048025,0.00048025
107,5857.55,1.23603,0.78149,0.92819,0.77357,0.51369,0.60687,0.37288,1.26096,0.81458,0.94158,0.0004753,0.0004753,0.0004753
108,5909.91,1.22718,0.78315,0.92886,0.75633,0.52106,0.60579,0.37046,1.24448,0.81651,0.93897,0.00047035,0.00047035,0.00047035
109,5962.79,1.23915,0.78277,0.92514,0.78589,0.50863,0.60765,0.37375,1.25452,0.81165,0.93777,0.0004654,0.0004654,0.0004654
110,6015.32,1.24179,0.78427,0.92487,0.76132,0.53002,0.61511,0.37859,1.242,0.7971,0.9362,0.00046045,0.00046045,0.00046045
111,6067.9,1.22661,0.77584,0.92653,0.77,0.51779,0.61,0.37589,1.25117,0.79826,0.94117,0.0004555,0.0004555,0.0004555
112,6120.51,1.22719,0.77755,0.92551,0.76509,0.53026,0.61208,0.37708,1.23874,0.79075,0.93687,0.00045055,0.00045055,0.00045055
113,6173.65,1.23872,0.78324,0.92452,0.77404,0.52075,0.61209,0.37435,1.24563,0.79875,0.93705,0.0004456,0.0004456,0.0004456
114,6226.16,1.21953,0.7625,0.9209,0.76792,0.52402,0.61336,0.37423,1.25153,0.80175,0.93778,0.00044065,0.00044065,0.00044065
115,6278.89,1.22881,0.77796,0.92221,0.76817,0.52233,0.60854,0.37513,1.24629,0.79584,0.9363,0.0004357,0.0004357,0.0004357
116,6331.63,1.22747,0.77192,0.92253,0.77515,0.51081,0.61042,0.37351,1.24891,0.79526,0.93939,0.00043075,0.00043075,0.00043075
117,6383.95,1.22552,0.77717,0.92409,0.76305,0.52435,0.61116,0.37405,1.25407,0.79899,0.94257,0.0004258,0.0004258,0.0004258
118,6436.17,1.22631,0.77477,0.92402,0.76715,0.52354,0.61022,0.37583,1.24751,0.80157,0.93956,0.00042085,0.00042085,0.00042085
119,6488.78,1.21785,0.76498,0.92277,0.77135,0.52546,0.61174,0.3747,1.24454,0.79591,0.93803,0.0004159,0.0004159,0.0004159
120,6541.32,1.23726,0.78135,0.92236,0.77181,0.52762,0.61196,0.37506,1.23963,0.79325,0.93543,0.00041095,0.00041095,0.00041095
